risk_free_rate,scenario,capital_weighted_pd,capital_weighted_score,effective_obligors,top_20_capital_share,mean_loss_pct,var95_loss_pct,es95_loss_pct,top_allocated_sector,max_allocation
0.0,DAPS,0.395654,0.024112,155.355,0.294002,10.370469,34.269779,40.512923,CSS Bio,2.0
0.0,DiRe,0.390168,0.023936,203.587,0.238717,10.343869,32.235928,37.516382,CSS Bio,2.0
0.0,HWTP,0.216604,0.032336,131.215,0.340602,5.908437,18.720316,24.433233,Biofuels,2.0
0.0,SWUC,0.436464,0.022341,149.648,0.30194,13.07003,44.833756,55.602041,CSS Bio,2.0
0.01,DAPS,0.371244,0.026079,319.72,0.190745,10.48575,33.844853,40.30435,Advanced Electric Appliances,1.592229
0.01,DiRe,0.364271,0.026172,422.608,0.151751,10.410718,32.074915,37.408805,CSS Bio,1.218312
0.01,HWTP,0.20888,0.037101,167.902,0.298119,6.132822,19.122613,24.711997,Biofuels,2.0
0.01,SWUC,0.407893,0.024088,302.561,0.197551,13.191258,44.72513,55.566301,CSS Bio,2.0
0.02,DAPS,0.341014,0.028299,806.286,0.102225,10.62279,33.421063,39.961352,Advanced Electric Appliances,0.799752
0.02,DiRe,0.332872,0.028857,955.973,0.08503,10.489684,32.024895,37.351618,Advanced Electric Appliances,0.636302
0.02,HWTP,0.212764,0.040176,279.987,0.21986,6.820514,20.930027,26.337909,Biofuels,1.938824
0.02,SWUC,0.37411,0.026214,800.252,0.103175,13.327455,44.460549,55.430898,CSS Bio,1.051128
0.03,DAPS,0.315126,0.032761,1415.601,0.060887,10.699029,33.291851,39.749184,Advanced Electric Appliances,0.452869
0.03,DiRe,0.306828,0.033524,1583.837,0.052279,10.538188,32.019955,37.331402,Advanced Electric Appliances,0.369875
0.03,HWTP,0.218026,0.043347,579.243,0.143474,7.550015,22.820995,28.171518,Biofuels,1.184885
0.03,SWUC,0.34596,0.030644,1399.385,0.060251,13.397953,44.430356,55.34487,Advanced Electric Appliances,0.559524
0.04,DAPS,0.29696,0.038641,1830.271,0.04144,10.739063,33.26857,39.62491,Advanced Electric Appliances,0.301293
0.04,DiRe,0.288552,0.039508,2006.65,0.036118,10.565963,32.040928,37.325627,Advanced Electric Appliances,0.248553
0.04,HWTP,0.217506,0.048202,971.241,0.10061,7.998769,23.979619,29.266967,Equipment for wind power technology,0.790379
0.04,SWUC,0.326476,0.036439,1758.108,0.04082,13.432792,44.295087,55.297088,Non-metallic minerals,0.352518
0.05,DAPS,0.284428,0.045251,2034.05,0.031165,10.761902,33.202399,39.545692,Non-metallic minerals,0.220987
0.05,DiRe,0.275898,0.046198,2216.961,0.02741,10.582817,32.078651,37.32492,Non-metallic minerals,0.184629
0.05,HWTP,0.215099,0.054201,1350.096,0.075965,8.277339,24.68639,29.926992,Equipment for wind power technology,0.573348
0.05,SWUC,0.313118,0.04291,1907.819,0.030721,13.451644,44.176069,55.266852,Non-metallic minerals,0.250892
